samples	HYB_210_profile	HYB_209_profile	HYB_208_profile	HYB_207_profile	HYB_206_profile	HYB_205_profile	HYB_203_profile	HYB_202_profile	HYB_201_profile	HYB_112_profile	HYB_107_profile	HYB_106_profile	HYB_105_profile	HYB_104_profile	HYB_103_profile	HYB_101_profile	CHAR_712_profile	CHAR_710_profile	CHAR_709_profile	CHAR_708_profile	CHAR_707_profile	CHAR_706_profile	CHAR_705_profile	CHAR_704_profile	CHAR_703_profile	CHAR_702_profile	CHAR_701_profile	CHAR_612_profile	CHAR_611_profile	CHAR_608_profile	CHAR_604_profile	CHAR_601_profile	ANG_506_profile	ANG_505_profile	ANG_503_profile	ANG_501_profile	ANG_407_profile	ANG_404_profile	ANG_403_profile	ANG_402_profile	ANG_401_profile	ANG_308_profile	ANG_307_profile	ANG_305_profile	ANG_304_profile	ANG_303_profile	ANG_302_profile	ANG_301_profile
Lactobacillus_equicursoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.490620000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47956000000000004	0	9.059660000000001	0	0	0
Lactobacillus_ruminis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.42106	0	0	0
Sharpea_azabuensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57809	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacterium_pyruvativorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.38099	7.631660000000001	0	10.67993	0	0	0	0	0	0	0	0	0	0	0	0
Eubacterium_sp_68_3_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22305	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae_bacterium_G11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae_bacterium_XPB1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6699	0	0	0	0	0	0	0	0	0	0.74811	0	0	0	1.26494	0	0	0	0	0	0	0	0	0	0	0	0	1.98455	0	0
Pseudobutyrivibrio_ruminis	0	0	0	59.54168000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseburia_faecis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.05172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.828340000000004
Oscillibacter_sp_57_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.07315	0	5.797680000000001	0	4.91106	0	0	0	21.62282	0	0	0	0	0	0	0	19.94894	13.91341	0	33.66891	0	0	0	0	0	0	2.82472	0	0	0	0	0
Ruminococcus_albus	0	0	0	0	56.00326999999999	35.9517	0	0	0	0	5.02442	0	0	0	0	0	2.54625	0	27.0113	0	8.273480000000001	0	0	64.07364	10.053139999999999	0	0	42.0532	3.8553699999999997	58.23891	0	0	11.10971	30.43739	40.560959999999994	30.9288	0	17.66926	22.03649	9.424669999999999	0	47.77357	14.53934	7.15446	12.4582	33.90406	27.50688	25.790210000000002
Ruminococcus_flavefaciens	0	0	0	40.45832	0	32.12287	63.29596	17.64876	20.047420000000002	0	61.494769999999995	0	0	0	0	2.05749	28.015829999999998	0	30.8942	0	61.551590000000004	0	53.313280000000006	0	38.39004	9.44797	0	21.81995	59.9922	41.76109	0	0	35.201029999999996	25.89445	48.91018	19.41895	0	45.29805	36.87233	0	100.0	30.80617	64.17264	71.1636	46.80749	64.11139	72.49311999999999	1.90247
Succiniclasticum_ruminis	0	55.796769999999995	0	0	0	5.84219	0	0	17.460910000000002	2.8648599999999997	0	5.4764800000000005	0	12.33008	5.82604	52.9639	7.25927	97.0138	0	0	0	34.628040000000006	0	18.445439999999998	0	90.55203	0	36.12685	18.83406	0	69.15665	0	0	0	0	0	0	0	10.26854	9.22622	0	0	0	0	0	0	0	17.85497
Megasphaera_elsdenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.575559999999996	0	0	4.59125	0	1.42895	0	0	0
Treponema_bryantii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.208920000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.362219999999999	0.31695	0	0	0	0	0	0	0	0	0	0	9.9681	0	0	0
Treponema_saccharophilum	52.88366	0	0	0	0	0	0	0	0	0	0	3.97612	0	0	20.69828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
